"regions","indicators","banks","currency-type","monthly-income","insurance-companies","type-of-insurance","economic-activity","countries","foreign-currency","assets","liabilities","Unit","Date","Value"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2016M4","12995300000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2016M5","13003000000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2016M6","12939000000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2016M7","13159500000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2016M8","13096700000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2016M9","13048600000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2016M10","13048100000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2016M11","13097400000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2016M12","13250600000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2017M1","13437900000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2017M2","13666100000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2017M3","13778700000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2017M4","13824300000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2017M5","13708900000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2017M6","13582300000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2017M7","13724100000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2017M8","13832200000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2017M9","13777200000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2017M10","13884400000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2017M11","13973400000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2017M12","13943700000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2018M1","14127400000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2018M2","14183500000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2018M3","14180200000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2018M4","14079400000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2018M5","14269300000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2018M6","14219600000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2018M7","14080300000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2018M8","14133300000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2018M9","14081800000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2018M10","14225000000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2018M11","14521600000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2018M12","14312100000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2019M1","14311900000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2019M2","14359600000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2019M3","14592900000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2019M4","14634300000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2019M5","14772500000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2019M6","14876700000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2019M7","14919300000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2019M8","14920500000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2019M9","14976000000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2019M10","15046300000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2019M11","14848800000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2019M12","15200600000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2020M1","15288600000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2020M2","23593600000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2020M3","15925690000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2020M4","16174300000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2020M5","16147200000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2020M6","16302600000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2020M7","16465900000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2020M8","16528527941"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2020M9","16402600000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2020M10","16394200000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2020M11","16457100000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2020M12","16794800000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2021M1","16885200000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2021M2","17047800000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2021M3","17089500000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2021M4","17273600000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2021M5","17336600000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2021M6","17356700000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2021M7","17140600000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2021M8","17116100000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2021M9","17245900000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2021M10","17104572569.207"
